iter	Passed	Remaining
0	104	104161
1	108	53973
2	111	36898
3	113	28267
4	116	23101
5	118	19700
6	123	17530
7	126	15638
8	129	14289
9	132	13115
10	136	12270
11	139	11457
12	141	10718
13	143	10096
14	145	9549
15	147	9088
16	150	8695
17	153	8386
18	156	8055
19	158	7771
20	161	7513
21	165	7352
22	168	7144
23	170	6915
24	171	6700
25	173	6504
26	175	6327
27	177	6173
28	181	6074
29	183	5934
30	185	5809
31	187	5674
32	189	5549
33	191	5430
34	194	5371
35	196	5271
36	199	5185
37	201	5096
38	203	5011
39	205	4924
40	208	4867
41	210	4803
42	212	4728
43	214	4658
44	216	4588
45	218	4524
46	220	4467
47	223	4436
48	225	4381
49	227	4329
50	229	4276
51	231	4228
52	234	4190
53	236	4142
54	238	4096
55	240	4059
56	243	4021
57	245	3979
58	247	3944
59	250	3918
60	251	3878
61	254	3845
62	256	3808
63	258	3774
64	260	3740
65	262	3711
66	265	3690
67	266	3658
68	268	3626
69	270	3594
70	272	3562
71	274	3531
72	275	3503
73	279	3491
74	280	3464
75	282	3439
76	284	3413
77	286	3389
78	288	3364
79	290	3339
80	292	3317
81	294	3301
82	295	3265
83	296	3236
84	297	3207
85	299	3180
86	300	3152
87	301	3124
88	302	3097
89	304	3074
90	305	3051
91	307	3034
92	309	3017
93	310	2997
94	312	2974
95	313	2953
96	314	2931
97	316	2909
98	317	2888
99	318	2868
100	320	2850
101	321	2831
102	323	2815
103	324	2798
104	326	2779
105	327	2761
106	328	2742
107	329	2723
108	331	2705
109	332	2688
110	333	2671
111	335	2657
112	336	2641
113	338	2628
114	340	2618
115	342	2607
116	343	2590
117	344	2577
118	346	2562
119	347	2547
120	348	2532
121	349	2515
122	350	2501
123	352	2488
124	353	2477
125	355	2463
126	356	2447
127	357	2434
128	358	2422
129	360	2409
130	361	2397
131	362	2385
132	364	2373
133	365	2360
134	366	2348
135	368	2342
136	370	2331
137	371	2322
138	373	2311
139	374	2300
140	375	2288
141	376	2275
142	377	2263
143	378	2250
144	379	2238
145	380	2227
146	381	2215
147	383	2207
148	384	2198
149	386	2187
150	387	2177
151	388	2167
152	389	2156
153	390	2147
154	391	2136
155	392	2124
156	393	2113
157	394	2102
158	395	2091
159	396	2082
160	397	2070
161	399	2065
162	400	2056
163	401	2045
164	402	2035
165	403	2025
166	404	2016
167	405	2006
168	406	1996
169	406	1986
170	407	1976
171	408	1967
172	409	1957
173	410	1947
174	411	1937
175	411	1928
176	412	1920
177	415	1917
178	416	1909
179	417	1900
180	418	1891
181	418	1882
182	419	1874
183	420	1865
184	421	1857
185	422	1849
186	423	1842
187	424	1834
188	425	1827
189	426	1819
190	428	1813
191	430	1810
192	431	1804
193	432	1796
194	433	1789
195	434	1782
196	435	1775
197	436	1768
198	437	1761
199	438	1753
200	439	1746
201	440	1739
202	441	1732
203	442	1725
204	443	1720
205	445	1718
206	446	1711
207	447	1705
208	449	1699
209	449	1692
210	450	1685
211	451	1678
212	452	1672
213	453	1666
214	454	1659
215	455	1653
216	456	1646
217	457	1640
218	458	1636
219	460	1633
220	461	1627
221	462	1620
222	463	1614
223	464	1607
224	465	1602
225	466	1596
226	467	1590
227	468	1585
228	469	1579
229	470	1574
230	471	1569
231	472	1564
232	474	1563
233	476	1558
234	477	1553
235	478	1549
236	479	1543
237	480	1538
238	481	1532
239	482	1527
240	483	1522
241	484	1517
242	485	1511
243	486	1506
